id,isBegin,sign,parent_id,bgmPath,role,roleID,boxPos,content,mp3Path,backPic,skip,failSkip,reward
int,string,string,int,string,string,string,string,string,string,string,int,string,string
子ID,起始点,标志,父ID,背景BGM,人物#Lang,人物ID,位置,对话内容#Lang,MP3路径,背景图片,跳转,失败跳转,奖励
c/s,c,c,c,c,c,c,c,c,c,c,c,c,c/s
1933,TRUE,#,100101-1,,,,r,窗外樱花开得正盛，花瓣偶尔随风落在窗台上。,,coffeebar,1934,,
1934,TRUE,#,100101-1,,,$card:100101,r,金秩柯坐在老位置上，面前的桌上摊开着一本厚厚的笔记本。,,coffeebar,1935,,
1935,TRUE,#,100101-1,,,$card:100101,r,他戴着一副细框眼镜，难得露出了几分书卷气。,,coffeebar,1936,,
1936,TRUE,#,100101-1,,,$card:100101,r,阳光和花瓣一起落在他的笔记本上，他浑然不觉。,,coffeebar,1937,,
1937,TRUE,#,100101-1,,$player,$card:100101,r,今天戴眼镜了，近视吗？,,coffeebar,1938,,
1938,,#,1933,,金秩柯,$card:100101,l,有一点，平时戴隐形，今天眼睛不舒服。,,,1939,,
1939,,#,1933,,,$card:100101,l,他摘下眼镜揉了揉鼻梁，镜腿在桌上轻轻搁下。,,,1940,,
1940,,#,1938,,$player,$card:100101,r,戴眼镜也挺好看的，显得很乖。,,,1941,,
1941,,#,1940,,金秩柯,$card:100101,l,乖？第一次有人用这个词形容我。,,,1942,,
1942,,#,1941,,,$card:100101,r,你在写什么，那么专注。,,,1943,,
1943,,#,1941,,,$card:100101,r,他把笔记本推过来一点，页面上密密麻麻写满了歌词和和弦标记。,,,1944,,
1944,,#,1942,,金秩柯,$card:100101,l,下个月评估的原创曲目，还差最后一段副歌。,,,1945,,
1945,,#,1944,,$player,$card:100101,r,卡住了？,,,1946,,
1946,,#,1945,,金秩柯,$card:100101,l,嗯，怎么写都不满意。,,,1947,,
1947,,#,1946,,$player,$card:100101,r,写的是什么主题？,,,1948,,
1948,,#,1947,,金秩柯,$card:100101,l,春天。听起来很俗吧。,,,1949,,
1949,,#,1947,,,$card:100101,l,窗外又一阵风过，几片花瓣贴着玻璃滑落。,,,1950,,
1950,,#,1948,,$player,$card:100101,r,不俗，春天本来就是让人心动的季节。,,,1951,,
1951,,#,1950,,金秩柯,$card:100101,l,心动吗……我好像知道该写什么了。,,,1952,,
1952,,#,1951,,$player,$card:100101,r,这么快？我什么都没说。,,,1953,,
1953,,#,1951,,,$card:100101,r,他重新拿起笔，在纸上飞快地写下几行字，笔尖沙沙作响。,,,1955,,
1955,,#,1952,,金秩柯,$card:100101,l,你说了，你说春天是心动的季节。,,,1956,,
1956,,#,1955,,$player,$card:100101,r,这也算灵感来源？,,,1957,,
1957,,#,1956,,金秩柯,$card:100101,l,当然算。写歌的人，靠的就是这些瞬间。,,,1958,,
1958,,#,1956,,店员,,l,樱花拿铁，季节限定，请两位尝尝。,,,1959,,
1959,,#,1956,,,,l,杯口的奶泡上浮着一朵盐渍樱花，粉白相间，精致得不忍下口。,,,1960,,
1960,,#,1956,,金秩柯,$card:100101,l,请问这款会卖多久？,,,1961,,
1961,,#,1956,,店员,$card:100101,l,到花谢为止吧。,,,1962,,
1962,,#,1956,,金秩柯,$card:100101,l,那时间不多了。,,,1963,,
1963,,#,1957,,$player,$card:100101,r,你在感叹樱花还是感叹别的？,,,1964,,
1964,,#,1963,,金秩柯,$card:100101,l,都在感叹。花期短，好时光也短。,,,1965,,
1965,,#,1963,,,$card:100101,l,他端起杯子，在樱花拿铁的热气中望向$player，,,,1966,,
1966,,#,1963,,,$card:100101,l,目光里有春天一样的温柔与仓促。,,,1968,,
1968,,$,1964,,,,,,,,1969,,attr:1:500
1969,,END,1968,,,,,,,,,,
